"ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGADDRESS","BILLINGCITY","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CREATEDBYID","CREATEDDATE","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DESCRIPTION","DUNSNUMBER","FAX","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAICSCODE","NAICSDESC","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OPERATINGHOURSID","OWNERID","OWNERSHIP","PARENTID","PHONE","PHOTOURL","RATING","SLAEXPIRATIONDATE__C","SLASERIALNUMBER__C","SLA__C","SHIPPINGADDRESS","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTREET","SIC","SICDESC","SITE","SYSTEMMODSTAMP","TICKERSYMBOL","TRADESTYLE","TYPE","UPSELLOPPORTUNITY__C","WEBSITE","YEARSTARTED"
"CD355119-A","","Yes","","","","","","","","","UK","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","High","","","","+44 191 4956620","001Hp00002g1VGjIAM","Energy","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","United Oil & Gas, UK","24000","34.0","","005Hp00000hnUYPIA2","Public","","+44 191 4956203","/services/images/photo/001Hp00002g1VGjIAM","","2023-11-22","3479","Platinum","","","","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","4437","","","2023-10-28T20:45:25.000Z","UOS","","Customer - Direct","No","http://www.uos.com",""
"CD439877","","Yes","5.0E8","","Chicago","","","","","","IL","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","High","","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","","(312) 596-1500","001Hp00002g1VGfIAM","Hospitality","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","Grand Hotels & Resorts Ltd","5600","57.0","","005Hp00000hnUYPIA2","Public","","(312) 596-1000","/services/images/photo/001Hp00002g1VGfIAM","Warm","2024-05-24","5572","Gold","","","","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","2268","","","2023-10-28T20:45:25.000Z","GHTL","","Customer - Direct","Yes","www.grandhotels.com",""
"","","","","","San Francisco","US","","","","94087","CA","The Landmark @ One Market","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","(415) 901-7002","001Hp00002g1VGmIAM","","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","sForce","","","","005Hp00000hnUYPIA2","","","(415) 901-7000","/services/images/photo/001Hp00002g1VGmIAM","","","","","","","","","","","","","","","","","2023-10-28T20:45:25.000Z","","","","","www.sforce.com",""
"","","","","","","","","","","","","","Pending","005Hp00000hjWWrIAM","2023-10-28T20:48:12.000Z","","","","","","001Hp00002fmBy8IAE","","false","","","","005Hp00000hjWWrIAM","2023-10-28T20:48:12.000Z","","","","","","Sample Account for Entitlements","","","","005Hp00000hjWWrIAM","","","","/services/images/photo/001Hp00002fmBy8IAE","","","","","","","","","","","","","","","","","2023-10-28T20:48:12.000Z","","","","","",""
"CD451796","","Yes","1.39E8","","Austin","","","","","","TX","312 Constitution Place
Austin, TX 78767
USA","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Medium","","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","","(512) 757-9000","001Hp00002g1VGbIAM","Electronics","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","Edge Communications","1000","2.0","","005Hp00000hnUYPIA2","Public","","(512) 757-6000","/services/images/photo/001Hp00002g1VGbIAM","Hot","2023-11-22","2657","Silver","","","","","","","","","312 Constitution Place
Austin, TX 78767
USA","6576","","","2023-10-28T20:45:25.000Z","EDGE","","Customer - Direct","Maybe","http://edgecomm.com",""
"CC947211","","Yes","9.5E8","","Portland","","","","","","OR","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Medium","","Commerical logistics and transportation company.","","(503) 421-7801","001Hp00002g1VGhIAM","Transportation","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","Express Logistics and Transport","12300","150.0","","005Hp00000hnUYPIA2","Public","","(503) 421-7800","/services/images/photo/001Hp00002g1VGhIAM","Cold","2024-05-24","4724","Platinum","","","","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","8742","","","2023-10-28T20:45:25.000Z","EXLT","","Customer - Channel","Maybe","www.expressl&t.net",""
"CC978213","","Yes","3.0E7","","Mountain View","","","","","","CA","345 Shoreline Park
Mountain View, CA 94043
USA","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Low","","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","","(650) 867-9895","001Hp00002g1VGlIAM","Biotechnology","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","GenePoint","265","1.0","","005Hp00000hnUYPIA2","Private","","(650) 867-3450","/services/images/photo/001Hp00002g1VGlIAM","Cold","2024-05-24","7324","Bronze","","","","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","3712","","","2023-10-28T20:45:25.000Z","","","Customer - Channel","Yes","www.genepoint.com",""
"CC213425","","Yes","9.5E8","","Paris","France","","","","75251","","2 Place Jussieu","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","(014) 427-4428","001Hp00002g1VGdIAM","Construction","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","Pyramid Construction Inc.","2680","17.0","","005Hp00000hnUYPIA2","Public","","(014) 427-4427","/services/images/photo/001Hp00002g1VGdIAM","","2024-05-24","9840","Silver","","Paris","France","","","","75251","","2 Place Jussieu","4253","","","2023-10-28T20:45:25.000Z","PYR","","Customer - Channel","Maybe","www.pyramid.com",""
"CD656092","","","3.5E8","","Burlington","USA","","","","27215","NC","525 S. Lexington Ave","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","(336) 222-8000","001Hp00002g1VGcIAM","Apparel","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","Burlington Textiles Corp of America","9000","6.0","","005Hp00000hnUYPIA2","Public","","(336) 222-7000","/services/images/photo/001Hp00002g1VGcIAM","Warm","2023-11-22","5367","Silver","","","","","","","","","","546732","","","2023-10-28T20:45:25.000Z","BTXT","","Customer - Direct","Maybe","www.burlington.com",""
"CD736025","","Yes","","","Tucson","","","","","","AZ","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Medium","","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","","(520) 773-9060","001Hp00002g1VGiIAM","Education","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","University of Arizona","39000","3.0","","005Hp00000hnUYPIA2","Other","","(520) 773-9050","/services/images/photo/001Hp00002g1VGiIAM","Warm","2023-11-22","8350","Gold","","","","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","7321","","","2023-10-28T20:45:25.000Z","","","Customer - Direct","Yes","www.universityofarizona.com",""
