"ACCOUNTID","AMOUNT","CAMPAIGNID","CLOSEDATE","CONTACTID","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DELIVERYINSTALLATIONSTATUS__C","DESCRIPTION","EXPECTEDREVENUE","FISCAL","FISCALQUARTER","FISCALYEAR","FORECASTCATEGORY","FORECASTCATEGORYNAME","HASOPENACTIVITY","HASOPPORTUNITYLINEITEM","HASOVERDUETASK","ID","ISCLOSED","ISDELETED","ISPRIVATE","ISWON","LASTACTIVITYDATE","LASTAMOUNTCHANGEDHISTORYID","LASTCLOSEDATECHANGEDHISTORYID","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTSTAGECHANGEDATE","LASTVIEWEDDATE","LEADSOURCE","MAINCOMPETITORS__C","NAME","NEXTSTEP","ORDERNUMBER__C","OWNERID","PRICEBOOK2ID","PROBABILITY","PUSHCOUNT","STAGENAME","SYSTEMMODSTAMP","TOTALOPPORTUNITYQUANTITY","TRACKINGNUMBER__C","TYPE"
"001Hp00002g1VGeIAM","15000.0","","2023-09-06","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","1500.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7kIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Purchased List","Honda","Dickenson Mobile Generators","","","005Hp00000hnUYPIA2","","10.0","0","Qualification","2023-10-28T20:45:25.000Z","","","New Customer"
"001Hp00002g1VGgIAM","125000.0","","2023-08-25","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Yamaha","","","112500.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7mIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","Yamaha","United Oil Office Portable Generators","","","005Hp00000hnUYPIA2","","90.0","0","Negotiation/Review","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGhIAM","220000.0","","2023-07-21","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Hawkpower","","","220000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7pIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Trade Show","Fujitsu","Express Logistics Standby Generator","","653276","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301420","New Customer"
"001Hp00002g1VGlIAM","85000.0","","2023-08-28","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Honda","Completed","","85000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7nIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Partner","Honda","GenePoint Standby Generator","","908676","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301420","New Customer"
"001Hp00002g1VGfIAM","15000.0","","2023-07-16","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","Yet to begin","","9000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7qIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","Fujitsu, Hawkpower","Grand Hotels Kitchen Generator","","","005Hp00000hnUYPIA2","","60.0","0","Id. Decision Makers","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","270000.0","","2023-10-09","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Caterpillar","Yet to begin","","202500.0","2015 2","2","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7oIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","John Deere","United Oil Refinery Generators","","","005Hp00000hnUYPIA2","","75.0","0","Proposal/Price Quote","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","120000.0","","2023-10-16","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","120000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh7lIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Partner","","United Oil SLA","","926363","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGfIAM","250000.0","","2023-10-24","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Honda","Yet to begin","","125000.0","2015 2","2","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7rIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Employee Referral","Honda","Grand Hotels Guest Portable Generators","","","005Hp00000hnUYPIA2","","50.0","0","Value Proposition","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGbIAM","75000.0","","2023-10-24","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","Completed","","75000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh7sIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Word of mouth","John Deere","Edge Emergency Generator","","731645","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301420","New Customer"
"001Hp00002g1VGiIAM","50000.0","","2023-07-25","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Mitsubishi","Completed","","50000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7tIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Public Relations","Honda, Mitsubishi","University of AZ Portable Generators","","768934","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301360","New Customer"
